KR0008	􁀙
KR0034	􁁉
KR0055	􁸓
KR0067	􁷶
KR0093	􁸏
KR0107	􁸂
KR0139	􁸁
KR0140	􁷪
KR0145	􁸎
KR0146	􁁜
KR0157	􁸑
KR0170	􁷼
KR0183	􁷸
KR0184	􁸍
KR0201	􁷳
KR0204	􁷴
KR0208	􁷬
KR0216	􁷰
KR0220	􁷯
KR0228	􁸅
KR0231	􁷵
KR0235	􁸉
KR0238	􁇀
KR0241	􁷻
KR0263	􁱉
KR0306	􁁆
KR0309	􁆡
KR0320	􁁑
KR0339	􁸃
KR0340	􁸄
KR0352	􁷫
KR0359	􁷮
KR0377	􁏏
KR0392	􁸋
KR0406	􁸒
KR0411	􁸆
KR0420	􁸌
KR0421	􁷾
KR0435	􁷲
KR0461	􁷱
KR0467	􁸐
KR0469	􁸀
KR0472	􁷿
KR0488	􁷽
KR0509	􁷩
KR0543	􁸈
KR0544	􁸇
KR0548	􁃶
KR0550	􁨃
KR0552	􁧢
KR0554	􁂶
KR0556	􁂗
KR0558	􁉃
KR0561	􁀾
KR0562	􁷷
KR0564	􁆇
KR0566	􁊉
KR0570	􁋯
KR0574	􁊅
KR0576	􁋼
KR0579	􁂋
KR0581	􁈙
KR0584	􁨭
KR0585	􁐺
KR0587	􁁿
KR0588	􁀫
KR0590	􁷺
KR0591	􁂎
KR0593	􁄹
KR0595	􁂜
KR0596	􁅛
KR0605	􁅪
KR0608	􁎚
KR0609	􁍝
KR0615	􁇭
KR0616	􁂰
KR0617	􁣶
KR0621	􁁬
KR0624	􁋄
KR0627	􁇠
KR0628	􁀈
KR0629	􁁄
KR0630	􁝎
KR0632	􁌇
KR0636	􁁃
KR0640	􁁎
KR0642	􁆎
KR0645	􁣣
KR0647	􁃸
KR0648	􁚖
KR0655	􁅰
KR0657	􁊁
KR0658	􁀉
KR0659	􁡩
KR0662	􁀒
KR0666	􁇢
KR0667	􁞯
KR0668	􁉡
KR0670	􁐂
KR0671	􁂅
KR0673	􁉸
KR0674	􁑗
KR0675	􁀤
KR0676	􁒅
KR0678	􁐳
KR0679	􁆱
KR0680	􁕁
KR0681	􁍤
KR0685	􁀊
KR0686	􁂍
KR0687	􁇔
KR0688	􁅳
KR0689	􁀨
KR0690	􁕪
KR0691	􁂪
KR0693	􁃿
KR0694	􁀁
KR0695	􁆟
KR0696	􁤏
KR0697	􁂧
KR0699	􁉞
KR0702	􁘭
KR0703	􁷭
KR0704	􁂒
KR0706	􁃓
KR0707	􁀥
KR0708	􁁈
KR0710	􁤅
KR0712	􁑾
KR0714	􁍥
KR0715	􁱇
KR0719	􁑔
KR0722	􁇑
KR0724	􁔾
KR0726	􁦆
KR0729	􁄶
KR0735	􁀅
